,FIPS_State,FIPS_County,NumAllAge,NumAllAge90%lb,NumAllAge90%ub,PercentAllAge,PercentAllAge90%lb,PercentAllAge90%ub,Num0-17_,Num0-17_90%lb,Num0-17_90%ub,Percent0-17_,Percent0-17_90%lb,Percent0-17_90%ub,NumRelCh5-17_,NumRelCh5-17_90%lb,NumRelCh5-17_90%ub,PercentRelCh5-17_,PercentRelCh5-17_90%lb,PercentRelCh5-17_90%ub,MedHouseInc,MedHouseInc90%lb,MedHouseInc90%ub,County_Name
0,48,001,9242,7240,11244,20.9,16.4,25.4,2989,2331,3647,27.6,21.5,33.7,2155,1696,2614,27.5,21.6,33.4,50879,45179,56579,Anderson County 
1,48,003,1722,1279,2165,9.2,6.8,11.6,702,471,933,12.0,8.1,15.9,481,315,647,11.3,7.4,15.2,76600,65269,87931,Andrews County 
2,48,005,14330,11468,17192,17.0,13.6,20.4,5446,4065,6827,25.1,18.7,31.5,3871,2852,4890,24.2,17.8,30.6,49943,44981,54905,Angelina County 
3,48,007,3986,3012,4960,17.1,12.9,21.3,1295,901,1689,30.8,21.4,40.2,928,638,1218,30.6,21.0,40.2,51461,44220,58702,Aransas County 
4,48,009,596,413,779,6.9,4.8,9.0,207,138,276,11.2,7.5,14.9,152,99,205,10.9,7.1,14.7,69566,60520,78612,Archer County 
5,48,011,169,124,214,9.3,6.8,11.8,51,34,68,12.4,8.2,16.6,38,25,51,12.2,8.0,16.4,62256,54191,70321,Armstrong County 
6,48,013,7618,5664,9572,14.9,11.1,18.7,3022,2018,4026,22.0,14.7,29.3,2217,1456,2978,21.8,14.3,29.3,60594,56436,64752,Atascosa County 
7,48,015,3378,2616,4140,11.4,8.8,14.0,1249,901,1597,18.0,13.0,23.0,902,647,1157,17.2,12.3,22.1,60593,51374,69812,Austin County 
8,48,017,945,693,1197,14.4,10.6,18.2,450,301,599,23.3,15.6,31.0,309,202,416,22.2,14.5,29.9,48259,40623,55895,Bailey County 
9,48,019,2588,1926,3250,11.0,8.2,13.8,803,537,1069,21.3,14.3,28.3,565,370,760,20.0,13.1,26.9,64389,57772,71006,Bandera County 
10,48,021,9596,7175,12017,10.8,8.1,13.5,3756,2534,4978,16.4,11.1,21.7,2655,1754,3556,15.6,10.3,20.9,74612,69306,79918,Bastrop County 
11,48,023,526,390,662,15.3,11.4,19.2,172,115,229,21.8,14.6,29.0,120,79,161,20.2,13.2,27.2,44392,37493,51291,Baylor County 
12,48,025,5685,4131,7239,23.1,16.8,29.4,1705,1130,2280,26.1,17.3,34.9,1207,786,1628,25.0,16.3,33.7,46316,39663,52969,Bee County 
13,48,027,52839,44904,60774,14.7,12.5,16.9,21349,16756,25942,21.4,16.8,26.0,14891,11378,18404,21.2,16.2,26.2,53639,49688,57590,Bell County 
14,48,029,297131,273527,320735,15.0,13.8,16.2,102507,90018,114996,20.5,18.0,23.0,70521,60746,80296,19.4,16.7,22.1,60477,58624,62330,Bexar County 
15,48,031,1199,922,1476,9.8,7.5,12.1,305,206,404,14.6,9.9,19.3,220,144,296,13.6,8.9,18.3,66383,56734,76032,Blanco County 
16,48,033,53,39,67,7.5,5.5,9.5,12,8,16,8.5,5.7,11.3,9,6,12,7.8,4.9,10.7,69499,58580,80418,Borden County 
